filename,UID,supp
acharya20a,96,
acharya20b,325,
agarwal20,80,
agarwal20b,121,
ahn20,62,
alon20,320,
alon20a,208,
Amid20,363,
amin20,141,
argue20,260,
Arjevani20,345,
avanesov20,135,
AWASTHI20,293,
backurs20,195,
Bailey20,228,
bao20,148,
barre20,145,
benarous20,360,
blanc20,358,
Blanca20,327,
boursier20,64,
bousquet20a,309,
bousquet20b,79,
braverman20,30,
brennan20,396,
bresler20,254,
brutzkus20,91,
bubeck20a,172,
bubeck20b,119,
bubeck20c,171,
bullins20,305,
Bun20,304,
celentano20,339,
Chase20,192,
chen20,389,
Cheshire20,227,
chewi20,28,
chizat20,258,
chou20,144,
cohen20,221,
CojaOghlan20,263,
dagan20,37,
davis20,86,
diakonikolas20,35,
Diakonikolas20a,372,
diakonikolas20b,181,
diakonikolas20c,328,
ding20,82,
dong20,33,
finocchiaro20,369,
fotakis20,317,
franks20,183,
Ganassali20,289,
garber20,58,
gerbelot20,54,
ghai20,34,
golowich20,253,
gopi20,5,
hao20,212,
hazan20,163,
hinder20,161,
holtzman20,100,
hopkins20,76,
hu20,133,
jana20,274,
Javanmard20,331,
Jeong20,361,
jezequel20,390,
ji20,209,
jin20,106,
kaledin20,124,
kamath_g20,6,
kamathp20,334,
kaplan20,219,
kesselheim20,178,
kidger20,53,
kirschner20,89,
kobzar20,324,
Kur20,264,
kwon20,177,
lattimore20,66,
Lee_c20,273,
lee_y20,101,
lei20,110,lei20-supp
Li20,379,
Liang_t20,286,
liang_y20,255,
lin20,120,
liu20,179,
merlis20,93,
Mhammedi20,393,
misra20,395,
Moitra20,206,
mou20,388,
nanashima20,68,
neu20a,129,
neu20b,239,
padmanabhan20,12,
paesleme20,329,
parthasarathy20,25,
perrault20a,251,
qu20,202,
raghavendrayau20,371,
rouyer20,140,
safran20,65,
schmalhofer20,272,
Shamir20,297,
simchowitz20,31,
steinke20a,98,
SYRGKANIS20,319,
Turner20,281,
wagenmaker20,184,
wei20,399,
woodworth20,196,
xie20,197,
Xu20,250,
Yang20,246,
yehudai20,38,
yuan20,180,
zhang20,337,
Foster20,OP04,
Koren20,OP03,
Luo20,OP01,
steinke20b,OP05,
VanErven20,OP02,
